OrderId,OrderProduct,OrderPrice,OrderDate,CustomerId
88,Tamarisk Thuidium Moss,$9.83,12/03/2016,88
89,Bidwell's Knotweed,$2.50,11/04/2015,89
90,Brunnera,$5.30,05/08/2015,90
91,Cutleaf Thelypody,$8.97,18/08/2016,91
92,Tropical Passionflower,$2.35,06/07/2016,92
93,Naked Mariposa Lily,$2.24,20/01/2017,93
94,Australian Indigo,$7.80,09/12/2013,94
95,Mung Bean,$1.13,03/01/2014,95
96,Onion,$8.51,28/11/2016,96
97,Lobed Fleabane,$1.03,13/07/2017,97
98,Brittle Spineflower,$3.14,19/12/2013,98
99,Sessileleaf Cyanea,$9.48,27/04/2014,99
100,Mountain Graygum,$2.50,01/09/2014,100
101,Rusby's Milkwort,$2.33,12/12/2016,101
102,Redflower Currant,$4.64,28/03/2017,102
103,Cedar Elm,$9.10,06/12/2012,103
104,Scribble Lichen,$9.81,13/07/2014,104
105,Sherring's Cup Orchid,$3.28,10/08/2016,105
106,Cultivated Knotweed,$5.84,10/07/2016,106
107,Common Goldenstar,$6.94,09/02/2016,107
108,Pine Hyacinth,$1.00,14/02/2016,108
109,Gum,$3.05,16/07/2015,109
110,Salty Buckwheat,$9.75,03/03/2013,110
111,Slimbristle Sandbur,$5.47,08/08/2015,111
112,Spiral Pondweed,$2.58,10/03/2015,112
113,Spanish Lupine,$7.14,22/02/2014,113
114,Davidson's Rockcress,$6.23,01/12/2016,114
115,Winterfat,$5.86,07/05/2017,115
116,Branched Draba,$2.19,28/03/2017,116
117,Summer Holly,$6.59,12/09/2016,117
118,Frey's Beard Lichen,$8.64,26/05/2017,118
119,Pak Choi,$5.86,19/06/2013,119
120,Guadalupe Rabbitbrush,$6.22,21/02/2014,120
